type,dataset,algorithm,stable,n,seed,ok,error,compares,cmp_flips,key_reads,aux_peak_bytes,order_hash
string,random,slice::sort,1,100,20260912,1,,718,256,,0,31d6cc0d1712f10f
string,random,glidesort,1,100,20260912,1,,716,289,,0,31d6cc0d1712f10f
string,sorted,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
string,sorted,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
string,sorted,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
string,reverse,brainsort,1,100,20260912,1,,99,0,,0,d9f7fc0466dafddf
string,reverse,slice::sort,1,100,20260912,1,,99,0,,0,d9f7fc0466dafddf
string,reverse,glidesort,1,100,20260912,1,,99,0,,0,d9f7fc0466dafddf
string,nearly_sorted,brainsort,1,100,20260912,1,,145,8,,832,52e6e5debbcd28d5
string,nearly_sorted,slice::sort,1,100,20260912,1,,316,20,,0,52e6e5debbcd28d5
string,nearly_sorted,glidesort,1,100,20260912,1,,314,44,,0,52e6e5debbcd28d5
string,few_unique,brainsort,1,100,20260912,1,,120,64,,3680,3ffa74371191bc55
string,few_unique,slice::sort,1,100,20260912,1,,688,274,,0,3ffa74371191bc55
string,few_unique,glidesort,1,100,20260912,1,,683,294,,0,3ffa74371191bc55
string,all_equal,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
string,all_equal,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
string,all_equal,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
string,runs,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
string,runs,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
string,runs,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
string,organ_pipe,brainsort,1,100,20260912,1,,197,98,,832,0f8bf22b09ab4179
string,organ_pipe,slice::sort,1,100,20260912,1,,484,100,,0,0f8bf22b09ab4179
string,organ_pipe,glidesort,1,100,20260912,1,,205,99,,0,0f8bf22b09ab4179
string,small_range,brainsort,1,100,20260912,1,,99,63,,1696,5aceeede6db274fb
string,small_range,slice::sort,1,100,20260912,1,,532,109,,0,5aceeede6db274fb
string,small_range,glidesort,1,100,20260912,1,,672,129,,0,5aceeede6db274fb
string,sawtooth,brainsort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
string,sawtooth,slice::sort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
string,sawtooth,glidesort,1,100,20260912,1,,99,0,,0,5ca7581a242be567
string,prefixed,brainsort,1,100,20260912,1,,99,59,,2656,6ae6ad717440b061
string,prefixed,slice::sort,1,100,20260912,1,,688,289,,0,6ae6ad717440b061
string,prefixed,glidesort,1,100,20260912,1,,716,299,,0,6ae6ad717440b061
int32,random,brainsort,1,1000,20260912,1,,999,635,,10080,ef5509db490a4b43
int32,random,slice::sort,1,1000,20260912,1,,10746,4571,,8000,ef5509db490a4b43
int32,random,slice::sort_by_cached_key,1,1000,20260912,1,,10577,4557,1000,8000,ef5509db490a4b43
int32,random,glidesort,1,1000,20260912,1,,10531,4649,,0,ef5509db490a4b43
int32,sorted,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
int32,sorted,slice::sort,1,1000,20260912,1,,999,0,,8000,9e2d4968de3331c3
int32,sorted,slice::sort_by_cached_key,1,1000,20260912,1,,999,0,1000,8000,9e2d4968de3331c3
int32,sorted,glidesort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
int32,reverse,brainsort,1,1000,20260912,1,,999,0,,0,441501082ff4231b
int32,reverse,slice::sort,1,1000,20260912,1,,999,0,,8000,441501082ff4231b
int32,reverse,slice::sort_by_cached_key,1,1000,20260912,1,,999,0,1000,8000,441501082ff4231b
int32,reverse,glidesort,1,1000,20260912,1,,999,0,,0,441501082ff4231b
int32,nearly_sorted,brainsort,1,1000,20260912,1,,2986,145,,2168,47a5d251876696c7
int32,nearly_sorted,slice::sort,1,1000,20260912,1,,6582,222,,8000,47a5d251876696c7
int32,nearly_sorted,slice::sort_by_cached_key,1,1000,20260912,1,,10063,1350,1000,8000,47a5d251876696c7
int32,nearly_sorted,glidesort,1,1000,20260912,1,,6141,720,,0,47a5d251876696c7
int32,few_unique,brainsort,1,1000,20260912,1,,999,655,,10080,4f78a205ddde3189
int32,few_unique,slice::sort,1,1000,20260912,1,,9768,3910,,8000,4f78a205ddde3189
int32,few_unique,slice::sort_by_cached_key,1,1000,20260912,1,,10368,3722,1000,8000,4f78a205ddde3189
int32,few_unique,glidesort,1,1000,20260912,1,,10492,4413,,0,4f78a205ddde3189
int32,all_equal,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
int32,all_equal,slice::sort,1,1000,20260912,1,,999,0,,8000,9e2d4968de3331c3
int32,all_equal,slice::sort_by_cached_key,1,1000,20260912,1,,999,0,1000,8000,9e2d4968de3331c3
int32,all_equal,glidesort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
int32,runs,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
int32,runs,slice::sort,1,1000,20260912,1,,999,0,,8000,9e2d4968de3331c3
int32,runs,slice::sort_by_cached_key,1,1000,20260912,1,,999,0,1000,8000,9e2d4968de3331c3
int32,runs,glidesort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
int32,organ_pipe,brainsort,1,1000,20260912,1,,1997,998,,4024,da4bca05f8b355a7
int32,organ_pipe,slice::sort,1,1000,20260912,1,,1997,998,,8000,da4bca05f8b355a7
int32,organ_pipe,slice::sort_by_cached_key,1,1000,20260912,1,,11498,1564,1000,8000,da4bca05f8b355a7
int32,organ_pipe,glidesort,1,1000,20260912,1,,2062,643,,0,da4bca05f8b355a7
int32,small_range,brainsort,1,1000,20260912,1,,999,641,,8048,99415f7d7af75131
int32,small_range,slice::sort,1,1000,20260912,1,,3650,1053,,8000,99415f7d7af75131
int32,small_range,slice::sort_by_cached_key,1,1000,20260912,1,,10078,721,1000,8000,99415f7d7af75131
int32,small_range,glidesort,1,1000,20260912,1,,4899,1398,,0,99415f7d7af75131
int32,sawtooth,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
int32,sawtooth,slice::sort,1,1000,20260912,1,,999,0,,8000,9e2d4968de3331c3
int32,sawtooth,slice::sort_by_cached_key,1,1000,20260912,1,,999,0,1000,8000,9e2d4968de3331c3
int32,sawtooth,glidesort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
int32,prefixed,brainsort,1,1000,20260912,1,,999,675,,9056,fe584dae9ed833e1
int32,prefixed,slice::sort,1,1000,20260912,1,,10648,4411,,8000,fe584dae9ed833e1
int32,prefixed,slice::sort_by_cached_key,1,1000,20260912,1,,10373,4641,1000,8000,fe584dae9ed833e1
int32,prefixed,glidesort,1,1000,20260912,1,,10504,4605,,0,fe584dae9ed833e1
int32,sparse_bits,brainsort,1,1000,20260912,1,,999,672,,9056,9d73ce98e1bbf9ad
int32,sparse_bits,slice::sort,1,1000,20260912,1,,10518,4400,,8000,9d73ce98e1bbf9ad
int32,sparse_bits,slice::sort_by_cached_key,1,1000,20260912,1,,10324,4297,1000,8000,9d73ce98e1bbf9ad
int32,sparse_bits,glidesort,1,1000,20260912,1,,10424,4583,,0,9d73ce98e1bbf9ad
double,random,brainsort,1,1000,20260912,1,,999,670,,18080,cc7c7c61ec539899
double,random,slice::sort,1,1000,20260912,1,,10670,4510,,16000,cc7c7c61ec539899
double,random,slice::sort_by_cached_key,1,1000,20260912,1,,10296,4289,1000,16000,cc7c7c61ec539899
double,random,glidesort,1,1000,20260912,1,,10446,4477,,16000,cc7c7c61ec539899
double,sorted,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
double,sorted,slice::sort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
double,sorted,slice::sort_by_cached_key,1,1000,20260912,1,,999,0,1000,16000,9e2d4968de3331c3
double,sorted,glidesort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
double,reverse,brainsort,1,1000,20260912,1,,999,0,,0,441501082ff4231b
double,reverse,slice::sort,1,1000,20260912,1,,999,0,,16000,441501082ff4231b
double,reverse,slice::sort_by_cached_key,1,1000,20260912,1,,999,0,1000,16000,441501082ff4231b
double,reverse,glidesort,1,1000,20260912,1,,999,0,,16000,441501082ff4231b
double,nearly_sorted,brainsort,1,1000,20260912,1,,2986,145,,3176,47a5d251876696c7
double,nearly_sorted,slice::sort,1,1000,20260912,1,,6582,222,,16000,47a5d251876696c7
double,nearly_sorted,slice::sort_by_cached_key,1,1000,20260912,1,,9593,1008,1000,16000,47a5d251876696c7
double,nearly_sorted,glidesort,1,1000,20260912,1,,6141,720,,16000,47a5d251876696c7
double,few_unique,brainsort,1,1000,20260912,1,,999,656,,18080,d3befadb9de83b33
double,few_unique,slice::sort,1,1000,20260912,1,,9655,3806,,16000,d3befadb9de83b33
double,few_unique,slice::sort_by_cached_key,1,1000,20260912,1,,10451,3758,1000,16000,d3befadb9de83b33
double,few_unique,glidesort,1,1000,20260912,1,,10595,4094,,16000,d3befadb9de83b33
double,all_equal,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
double,all_equal,slice::sort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
double,all_equal,slice::sort_by_cached_key,1,1000,20260912,1,,999,0,1000,16000,9e2d4968de3331c3
double,all_equal,glidesort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
double,runs,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
double,runs,slice::sort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
double,runs,slice::sort_by_cached_key,1,1000,20260912,1,,999,0,1000,16000,9e2d4968de3331c3
double,runs,glidesort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
double,organ_pipe,brainsort,1,1000,20260912,1,,1997,998,,8032,da4bca05f8b355a7
double,organ_pipe,slice::sort,1,1000,20260912,1,,1997,998,,16000,da4bca05f8b355a7
double,organ_pipe,slice::sort_by_cached_key,1,1000,20260912,1,,11128,1106,1000,16000,da4bca05f8b355a7
double,organ_pipe,glidesort,1,1000,20260912,1,,2062,643,,16000,da4bca05f8b355a7
double,small_range,brainsort,1,1000,20260912,1,,999,641,,16544,99415f7d7af75131
double,small_range,slice::sort,1,1000,20260912,1,,3650,1053,,16000,99415f7d7af75131
double,small_range,slice::sort_by_cached_key,1,1000,20260912,1,,9640,743,1000,16000,99415f7d7af75131
double,small_range,glidesort,1,1000,20260912,1,,3435,1057,,16000,99415f7d7af75131
double,sawtooth,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
double,sawtooth,slice::sort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
double,sawtooth,slice::sort_by_cached_key,1,1000,20260912,1,,999,0,1000,16000,9e2d4968de3331c3
double,sawtooth,glidesort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
double,prefixed,brainsort,1,1000,20260912,1,,999,670,,20128,cc7c7c61ec539899
double,prefixed,slice::sort,1,1000,20260912,1,,10670,4510,,16000,cc7c7c61ec539899
double,prefixed,slice::sort_by_cached_key,1,1000,20260912,1,,10296,4289,1000,16000,cc7c7c61ec539899
double,prefixed,glidesort,1,1000,20260912,1,,10446,4477,,16000,cc7c7c61ec539899
int64,random,brainsort,1,1000,20260912,1,,999,652,,18080,6b6c88e84225c7c5
int64,random,slice::sort,1,1000,20260912,1,,10571,4497,,16000,6b6c88e84225c7c5
int64,random,slice::sort_by_cached_key,1,1000,20260912,1,,9910,4277,1000,16000,6b6c88e84225c7c5
int64,random,glidesort,1,1000,20260912,1,,10274,4538,,16000,6b6c88e84225c7c5
int64,sorted,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
int64,sorted,slice::sort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
int64,sorted,slice::sort_by_cached_key,1,1000,20260912,1,,999,0,1000,16000,9e2d4968de3331c3
int64,sorted,glidesort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
int64,reverse,brainsort,1,1000,20260912,1,,999,0,,0,441501082ff4231b
int64,reverse,slice::sort,1,1000,20260912,1,,999,0,,16000,441501082ff4231b
int64,reverse,slice::sort_by_cached_key,1,1000,20260912,1,,999,0,1000,16000,441501082ff4231b
int64,reverse,glidesort,1,1000,20260912,1,,999,0,,16000,441501082ff4231b
int64,nearly_sorted,brainsort,1,1000,20260912,1,,2986,145,,3176,47a5d251876696c7
int64,nearly_sorted,slice::sort,1,1000,20260912,1,,6582,222,,16000,47a5d251876696c7
int64,nearly_sorted,slice::sort_by_cached_key,1,1000,20260912,1,,9593,1008,1000,16000,47a5d251876696c7
int64,nearly_sorted,glidesort,1,1000,20260912,1,,6141,720,,16000,47a5d251876696c7
int64,few_unique,brainsort,1,1000,20260912,1,,999,672,,18080,7d3fd0c961a21cd3
int64,few_unique,slice::sort,1,1000,20260912,1,,10031,3734,,16000,7d3fd0c961a21cd3
int64,few_unique,slice::sort_by_cached_key,1,1000,20260912,1,,10259,3727,1000,16000,7d3fd0c961a21cd3
int64,few_unique,glidesort,1,1000,20260912,1,,10548,4054,,16000,7d3fd0c961a21cd3
int64,all_equal,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
int64,all_equal,slice::sort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
int64,all_equal,slice::sort_by_cached_key,1,1000,20260912,1,,999,0,1000,16000,9e2d4968de3331c3
int64,all_equal,glidesort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
int64,runs,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
int64,runs,slice::sort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
int64,runs,slice::sort_by_cached_key,1,1000,20260912,1,,999,0,1000,16000,9e2d4968de3331c3
int64,runs,glidesort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
int64,organ_pipe,brainsort,1,1000,20260912,1,,1997,998,,8032,da4bca05f8b355a7
int64,organ_pipe,slice::sort,1,1000,20260912,1,,1997,998,,16000,da4bca05f8b355a7
int64,organ_pipe,slice::sort_by_cached_key,1,1000,20260912,1,,11128,1106,1000,16000,da4bca05f8b355a7
int64,organ_pipe,glidesort,1,1000,20260912,1,,2062,643,,16000,da4bca05f8b355a7
int64,small_range,brainsort,1,1000,20260912,1,,999,641,,16048,99415f7d7af75131
int64,small_range,slice::sort,1,1000,20260912,1,,3650,1053,,16000,99415f7d7af75131
int64,small_range,slice::sort_by_cached_key,1,1000,20260912,1,,9640,743,1000,16000,99415f7d7af75131
int64,small_range,glidesort,1,1000,20260912,1,,3435,1057,,16000,99415f7d7af75131
int64,sawtooth,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
int64,sawtooth,slice::sort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
int64,sawtooth,slice::sort_by_cached_key,1,1000,20260912,1,,999,0,1000,16000,9e2d4968de3331c3
int64,sawtooth,glidesort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
int64,prefixed,brainsort,1,1000,20260912,1,,999,675,,17056,fe584dae9ed833e1
int64,prefixed,slice::sort,1,1000,20260912,1,,10648,4411,,16000,fe584dae9ed833e1
int64,prefixed,slice::sort_by_cached_key,1,1000,20260912,1,,10297,4391,1000,16000,fe584dae9ed833e1
int64,prefixed,glidesort,1,1000,20260912,1,,10506,4506,,16000,fe584dae9ed833e1
string,random,brainsort,1,1000,20260912,1,,999,667,,18080,86ddf9f40fc07ca7
string,random,slice::sort,1,1000,20260912,1,,10600,4500,,16000,86ddf9f40fc07ca7
string,random,glidesort,1,1000,20260912,1,,10719,4563,,16000,86ddf9f40fc07ca7
string,sorted,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
string,sorted,slice::sort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
string,sorted,glidesort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
string,reverse,brainsort,1,1000,20260912,1,,999,0,,0,441501082ff4231b
string,reverse,slice::sort,1,1000,20260912,1,,999,0,,16000,441501082ff4231b
string,reverse,glidesort,1,1000,20260912,1,,999,0,,16000,441501082ff4231b
string,nearly_sorted,brainsort,1,1000,20260912,1,,3123,147,,3184,534353820c2aa7c3
string,nearly_sorted,slice::sort,1,1000,20260912,1,,7124,238,,16000,534353820c2aa7c3
string,nearly_sorted,glidesort,1,1000,20260912,1,,6878,1338,,16000,534353820c2aa7c3
string,few_unique,brainsort,1,1000,20260912,1,,1546,682,,18080,7484c9d6ecf68633
string,few_unique,slice::sort,1,1000,20260912,1,,9673,3921,,16000,7484c9d6ecf68633
string,few_unique,glidesort,1,1000,20260912,1,,10375,4128,,16000,7484c9d6ecf68633
string,all_equal,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
string,all_equal,slice::sort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
string,all_equal,glidesort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
string,runs,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
string,runs,slice::sort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
string,runs,glidesort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
string,organ_pipe,brainsort,1,1000,20260912,1,,1997,998,,8032,da4bca05f8b355a7
string,organ_pipe,slice::sort,1,1000,20260912,1,,1997,998,,16000,da4bca05f8b355a7
string,organ_pipe,glidesort,1,1000,20260912,1,,2062,643,,16000,da4bca05f8b355a7
string,small_range,brainsort,1,1000,20260912,1,,999,641,,16096,99415f7d7af75131
string,small_range,slice::sort,1,1000,20260912,1,,3650,1053,,16000,99415f7d7af75131
string,small_range,glidesort,1,1000,20260912,1,,3435,1057,,16000,99415f7d7af75131
string,sawtooth,brainsort,1,1000,20260912,1,,999,0,,0,9e2d4968de3331c3
string,sawtooth,slice::sort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
string,sawtooth,glidesort,1,1000,20260912,1,,999,0,,16000,9e2d4968de3331c3
string,prefixed,brainsort,1,1000,20260912,1,,1003,668,,17056,80a9d00b63b5689f
string,prefixed,slice::sort,1,1000,20260912,1,,10521,4555,,16000,80a9d00b63b5689f
string,prefixed,glidesort,1,1000,20260912,1,,10484,4617,,16000,80a9d00b63b5689f
int32,random,brainsort,1,10000,20260912,1,,1024,652,,58976,fb3849b4bda873ff
int32,random,slice::sort,1,10000,20260912,1,,140692,61312,,80000,fb3849b4bda873ff
int32,random,slice::sort_by_cached_key,1,10000,20260912,1,,138557,62732,10000,80000,fb3849b4bda873ff
int32,random,glidesort,1,10000,20260912,1,,140183,62296,,80000,fb3849b4bda873ff
int32,sorted,brainsort,1,10000,20260912,1,,9999,0,,0,95272738c97a3543
int32,sorted,slice::sort,1,10000,20260912,1,,9999,0,,80000,95272738c97a3543
int32,sorted,slice::sort_by_cached_key,1,10000,20260912,1,,9999,0,10000,80000,95272738c97a3543
int32,sorted,glidesort,1,10000,20260912,1,,9999,0,,80000,95272738c97a3543
int32,reverse,brainsort,1,10000,20260912,1,,9999,0,,0,18489aa670217473
int32,reverse,slice::sort,1,10000,20260912,1,,9999,0,,80000,18489aa670217473
int32,reverse,slice::sort_by_cached_key,1,10000,20260912,1,,9999,0,10000,80000,18489aa670217473
int32,reverse,glidesort,1,10000,20260912,1,,9999,0,,80000,18489aa670217473
int32,nearly_sorted,brainsort,1,10000,20260912,1,,31991,1793,,5688,403371f36b4f9b51
int32,nearly_sorted,slice::sort,1,10000,20260912,1,,109869,2520,,80000,403371f36b4f9b51
int32,nearly_sorted,slice::sort_by_cached_key,1,10000,20260912,1,,139363,15570,10000,80000,403371f36b4f9b51
int32,nearly_sorted,glidesort,1,10000,20260912,1,,84003,13331,,80000,403371f36b4f9b51
int32,few_unique,brainsort,1,10000,20260912,1,,1024,675,,58976,1eb7834a4ddd8a9d
int32,few_unique,slice::sort,1,10000,20260912,1,,82889,33846,,80000,1eb7834a4ddd8a9d
int32,few_unique,slice::sort_by_cached_key,1,10000,20260912,1,,138688,36408,10000,80000,1eb7834a4ddd8a9d
int32,few_unique,glidesort,1,10000,20260912,1,,87666,33944,,80000,1eb7834a4ddd8a9d
int32,all_equal,brainsort,1,10000,20260912,1,,9999,0,,0,95272738c97a3543
int32,all_equal,slice::sort,1,10000,20260912,1,,9999,0,,80000,95272738c97a3543
int32,all_equal,slice::sort_by_cached_key,1,10000,20260912,1,,9999,0,10000,80000,95272738c97a3543
int32,all_equal,glidesort,1,10000,20260912,1,,9999,0,,80000,95272738c97a3543
int32,runs,brainsort,1,10000,20260912,1,,24621,8,,40024,b806ebe557f9058f
int32,runs,slice::sort,1,10000,20260912,1,,22451,10,,80000,b806ebe557f9058f
int32,runs,slice::sort_by_cached_key,1,10000,20260912,1,,140257,8814,10000,80000,b806ebe557f9058f
int32,runs,glidesort,1,10000,20260912,1,,20596,7620,,80000,b806ebe557f9058f
int32,organ_pipe,brainsort,1,10000,20260912,1,,19997,9998,,40024,7cc72811739f7b5b
int32,organ_pipe,slice::sort,1,10000,20260912,1,,19997,9998,,80000,7cc72811739f7b5b
int32,organ_pipe,slice::sort_by_cached_key,1,10000,20260912,1,,164844,15678,10000,80000,7cc72811739f7b5b
int32,organ_pipe,glidesort,1,10000,20260912,1,,20190,3949,,80000,7cc72811739f7b5b
int32,small_range,brainsort,1,10000,20260912,1,,1024,656,,42576,5275f13ecc526b5d
int32,small_range,slice::sort,1,10000,20260912,1,,33231,10251,,80000,5275f13ecc526b5d
int32,small_range,slice::sort_by_cached_key,1,10000,20260912,1,,136491,12541,10000,80000,5275f13ecc526b5d
int32,small_range,glidesort,1,10000,20260912,1,,38381,10065,,80000,5275f13ecc526b5d
int32,sawtooth,brainsort,1,10000,20260912,1,,12088,19,,84128,bfa62f77083c2113
int32,sawtooth,slice::sort,1,10000,20260912,1,,43980,18000,,80000,bfa62f77083c2113
int32,sawtooth,slice::sort_by_cached_key,1,10000,20260912,1,,144820,21602,10000,80000,bfa62f77083c2113
int32,sawtooth,glidesort,1,10000,20260912,1,,44438,11313,,80000,bfa62f77083c2113
int32,prefixed,brainsort,1,10000,20260912,1,,1024,693,,88224,5ec72eb97399329b
int32,prefixed,slice::sort,1,10000,20260912,1,,141414,61378,,80000,5ec72eb97399329b
int32,prefixed,slice::sort_by_cached_key,1,10000,20260912,1,,139404,62515,10000,80000,5ec72eb97399329b
int32,prefixed,glidesort,1,10000,20260912,1,,141538,62394,,80000,5ec72eb97399329b
int32,sparse_bits,brainsort,1,10000,20260912,1,,1024,691,,81056,4281d21513c75187
int32,sparse_bits,slice::sort,1,10000,20260912,1,,99233,40996,,80000,4281d21513c75187
int32,sparse_bits,slice::sort_by_cached_key,1,10000,20260912,1,,138310,44016,10000,80000,4281d21513c75187
int32,sparse_bits,glidesort,1,10000,20260912,1,,125615,41026,,80000,4281d21513c75187
double,random,brainsort,1,10000,20260912,1,,1024,687,,117920,b98b15a50016d20d
double,random,slice::sort,1,10000,20260912,1,,141928,61651,,160000,b98b15a50016d20d
double,random,slice::sort_by_cached_key,1,10000,20260912,1,,136118,60520,10000,160000,b98b15a50016d20d
double,random,glidesort,1,10000,20260912,1,,140295,62569,,160000,b98b15a50016d20d
double,sorted,brainsort,1,10000,20260912,1,,9999,0,,0,95272738c97a3543
double,sorted,slice::sort,1,10000,20260912,1,,9999,0,,160000,95272738c97a3543
double,sorted,slice::sort_by_cached_key,1,10000,20260912,1,,9999,0,10000,160000,95272738c97a3543
double,sorted,glidesort,1,10000,20260912,1,,9999,0,,160000,95272738c97a3543
double,reverse,brainsort,1,10000,20260912,1,,9999,0,,0,18489aa670217473
double,reverse,slice::sort,1,10000,20260912,1,,9999,0,,160000,18489aa670217473
double,reverse,slice::sort_by_cached_key,1,10000,20260912,1,,9999,0,10000,160000,18489aa670217473
double,reverse,glidesort,1,10000,20260912,1,,9999,0,,160000,18489aa670217473
double,nearly_sorted,brainsort,1,10000,20260912,1,,31991,1793,,7736,403371f36b4f9b51
double,nearly_sorted,slice::sort,1,10000,20260912,1,,109869,2520,,160000,403371f36b4f9b51
double,nearly_sorted,slice::sort_by_cached_key,1,10000,20260912,1,,133469,12730,10000,160000,403371f36b4f9b51
double,nearly_sorted,glidesort,1,10000,20260912,1,,84003,13331,,160000,403371f36b4f9b51
double,few_unique,brainsort,1,10000,20260912,1,,1024,672,,134304,ccd59be53df08c95
double,few_unique,slice::sort,1,10000,20260912,1,,82979,33580,,160000,ccd59be53df08c95
double,few_unique,slice::sort_by_cached_key,1,10000,20260912,1,,137140,35480,10000,160000,ccd59be53df08c95
double,few_unique,glidesort,1,10000,20260912,1,,87454,34126,,160000,ccd59be53df08c95
double,all_equal,brainsort,1,10000,20260912,1,,9999,0,,0,95272738c97a3543
double,all_equal,slice::sort,1,10000,20260912,1,,9999,0,,160000,95272738c97a3543
double,all_equal,slice::sort_by_cached_key,1,10000,20260912,1,,9999,0,10000,160000,95272738c97a3543
double,all_equal,glidesort,1,10000,20260912,1,,9999,0,,160000,95272738c97a3543
double,runs,brainsort,1,10000,20260912,1,,24621,8,,80032,b806ebe557f9058f
double,runs,slice::sort,1,10000,20260912,1,,22451,10,,160000,b806ebe557f9058f
double,runs,slice::sort_by_cached_key,1,10000,20260912,1,,134021,6624,10000,160000,b806ebe557f9058f
double,runs,glidesort,1,10000,20260912,1,,20596,7620,,160000,b806ebe557f9058f
double,organ_pipe,brainsort,1,10000,20260912,1,,19997,9998,,80032,7cc72811739f7b5b
double,organ_pipe,slice::sort,1,10000,20260912,1,,19997,9998,,160000,7cc72811739f7b5b
double,organ_pipe,slice::sort_by_cached_key,1,10000,20260912,1,,161925,11486,10000,160000,7cc72811739f7b5b
double,organ_pipe,glidesort,1,10000,20260912,1,,20190,3949,,160000,7cc72811739f7b5b
double,small_range,brainsort,1,10000,20260912,1,,1024,656,,168224,5275f13ecc526b5d
double,small_range,slice::sort,1,10000,20260912,1,,33231,10251,,160000,5275f13ecc526b5d
double,small_range,slice::sort_by_cached_key,1,10000,20260912,1,,131623,12527,10000,160000,5275f13ecc526b5d
double,small_range,glidesort,1,10000,20260912,1,,38381,10065,,160000,5275f13ecc526b5d
double,sawtooth,brainsort,1,10000,20260912,1,,12088,19,,209184,bfa62f77083c2113
double,sawtooth,slice::sort,1,10000,20260912,1,,43980,18000,,160000,bfa62f77083c2113
double,sawtooth,slice::sort_by_cached_key,1,10000,20260912,1,,143337,21008,10000,160000,bfa62f77083c2113
double,sawtooth,glidesort,1,10000,20260912,1,,44438,11313,,160000,bfa62f77083c2113
double,prefixed,brainsort,1,10000,20260912,1,,1024,687,,117920,b98b15a50016d20d
double,prefixed,slice::sort,1,10000,20260912,1,,141928,61651,,160000,b98b15a50016d20d
double,prefixed,slice::sort_by_cached_key,1,10000,20260912,1,,136118,60520,10000,160000,b98b15a50016d20d
double,prefixed,glidesort,1,10000,20260912,1,,140295,62569,,160000,b98b15a50016d20d
int64,random,brainsort,1,10000,20260912,1,,1024,670,,101536,eea6a009cdd7eba5
int64,random,slice::sort,1,10000,20260912,1,,141268,61814,,160000,eea6a009cdd7eba5
int64,random,slice::sort_by_cached_key,1,10000,20260912,1,,137887,60227,10000,160000,eea6a009cdd7eba5
int64,random,glidesort,1,10000,20260912,1,,140388,62554,,160000,eea6a009cdd7eba5
int64,sorted,brainsort,1,10000,20260912,1,,9999,0,,0,95272738c97a3543
int64,sorted,slice::sort,1,10000,20260912,1,,9999,0,,160000,95272738c97a3543
int64,sorted,slice::sort_by_cached_key,1,10000,20260912,1,,9999,0,10000,160000,95272738c97a3543
